-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                           train_step-0         0.17%      14.139ms        47.52%        3.919s        3.919s       0.000us         0.00%      33.386ms      33.386ms             1  
                               cudaEventCreateWithFlags         0.00%     138.000us         0.00%     138.000us       1.453us       0.000us         0.00%       0.000us       0.000us            95  
                                        cudaEventRecord         0.00%     185.000us         0.00%     185.000us       1.088us       0.000us         0.00%       0.000us       0.000us           170  
                     Optimizer.zero_grad#Adam.zero_grad         0.00%      77.000us         0.00%      79.000us      79.000us       0.000us         0.00%       0.000us       0.000us             1  
                                         cudaEventQuery         0.01%     585.000us         0.01%     585.000us       1.253us       0.000us         0.00%       0.000us       0.000us           467  
                                       cudaEventDestroy         0.00%      64.000us         0.00%      64.000us       0.681us       0.000us         0.00%       0.000us       0.000us            94  
                                        cudaMemcpyAsync         8.58%     708.058ms         8.58%     708.058ms       1.617ms       0.000us         0.00%       0.000us       0.000us           438  
                                                forward        44.48%        3.669s        46.27%        3.817s        3.817s       0.000us         0.00%      29.175ms      29.175ms             1  
                                    cudaStreamWaitEvent         0.00%     117.000us         0.00%     117.000us       1.950us       0.000us         0.00%       0.000us       0.000us            60  
                                  nccl:_all_gather_base         0.00%       0.000us             0        3.665s        1.832s       0.000us         0.00%       0.000us       0.000us             2  
                                       cudaLaunchKernel        44.57%        3.676s        44.57%        3.676s       3.763ms       0.000us         0.00%       0.000us       0.000us           977  
                                     record_param_comms         0.02%       1.625ms         0.02%       1.962ms      70.071us       0.000us         0.00%     464.000us      16.571us            28  
                                            TRANSFORMER         0.01%     480.000us         1.78%     146.499ms     146.499ms       0.000us         0.00%      26.430ms      26.430ms             1  
                                  cudaStreamSynchronize         0.34%      27.820ms         0.34%      27.820ms      67.524us       0.000us         0.00%       0.000us       0.000us           412  
                                      FORWARD_EMBEDDING         0.01%     462.000us         0.02%       1.539ms       1.539ms       0.000us         0.00%     244.000us     244.000us             1  
                                                 detach         0.00%     307.000us         0.00%     307.000us       2.047us       0.000us         0.00%       0.000us       0.000us           150  
                               ForwardEmbedding_DropOut         0.00%      62.000us         0.00%     181.000us     181.000us       0.000us         0.00%      31.000us      31.000us             1  
                                                LAYER_0         0.00%     167.000us         0.04%       3.310ms       3.310ms       0.000us         0.00%       4.204ms       4.204ms             1  
                                      SelfAttnLayerNorm         0.00%     156.000us         0.01%     779.000us     194.750us       0.000us         0.00%     333.000us      83.250us             4  
                                               SelfAttn         0.01%       1.208ms         0.07%       5.440ms       1.360ms       0.000us         0.00%       9.905ms       2.476ms             4  
