-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                           train_step-0         0.10%      21.015ms        42.38%        9.043s        9.043s       0.000us         0.00%        1.296s        1.296s             1  
                                        cudaMemcpyAsync        37.52%        8.008s        37.52%        8.008s       6.281ms       0.000us         0.00%       0.000us       0.000us          1275  
                                                forward        16.71%        3.565s        28.64%        6.111s        6.111s       0.000us         0.00%     400.663ms     400.663ms             1  
                               cudaEventCreateWithFlags         0.01%       1.355ms         0.01%       1.355ms       1.195us       0.000us         0.00%       0.000us       0.000us          1134  
                                        cudaEventRecord         0.01%       2.049ms         0.01%       2.049ms       1.097us       0.000us         0.00%       0.000us       0.000us          1867  
                                    cudaStreamWaitEvent         0.00%     942.000us         0.00%     942.000us       1.367us       0.000us         0.00%       0.000us       0.000us           689  
                                       cudaEventDestroy         0.00%     687.000us         0.00%     687.000us       0.629us       0.000us         0.00%       0.000us       0.000us          1092  
                                       cudaLaunchKernel        19.07%        4.069s        19.07%        4.069s     559.375us       0.000us         0.00%       0.000us       0.000us          7275  
                                     record_param_comms         8.49%        1.811s         8.89%        1.898s       6.875ms       0.000us         0.00%       6.548ms      23.725us           276  
                                            TRANSFORMER         0.01%       2.008ms        11.86%        2.532s        2.532s       0.000us         0.00%     397.824ms     397.824ms             1  
                                  cudaStreamSynchronize         1.33%     284.782ms         1.33%     284.782ms     333.078us       0.000us         0.00%       0.000us       0.000us           855  
                                      FORWARD_EMBEDDING         0.00%     987.000us         0.13%      28.152ms      28.152ms       0.000us         0.00%       1.159ms       1.159ms             1  
                               ForwardEmbedding_DropOut         0.00%     122.000us         0.00%     302.000us     302.000us       0.000us         0.00%      61.000us      61.000us             1  
                                                LAYER_0         0.01%       1.560ms         0.15%      31.899ms      31.899ms       0.000us         0.00%      10.462ms      10.462ms             1  
                                     CheckpointFunction         0.04%       8.736ms         9.64%        2.057s      85.714ms       0.000us         0.00%     387.427ms      16.143ms            24  
                                      SelfAttnLayerNorm         0.01%       2.271ms         0.05%      10.916ms     227.417us       0.000us         0.00%       7.375ms     153.646us            48  
                                               SelfAttn         0.07%      14.134ms         0.48%     103.151ms       2.149ms       0.000us         0.00%     275.644ms       5.743ms            48  
                                               cudaFree         0.00%      10.000us         0.00%      10.000us       1.429us       0.000us         0.00%       0.000us       0.000us             7  
                                 cudaDeviceGetAttribute         0.00%       7.000us         0.00%       7.000us       0.175us       0.000us         0.00%       0.000us       0.000us            40  
                                             cudaMalloc         1.78%     379.122ms         1.78%     379.122ms       3.108ms       0.000us         0.00%       0.000us       0.000us           122  
