-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                           train_step-0         0.14%      15.370ms        56.59%        6.235s        6.235s       0.000us         0.00%      93.828ms      93.828ms             1  
                     Optimizer.zero_grad#Adam.zero_grad         0.00%      44.000us         0.00%      47.000us      47.000us       0.000us         0.00%       0.000us       0.000us             1  
                                        cudaMemcpyAsync         5.94%     654.809ms         5.94%     654.809ms       1.436ms       0.000us         0.00%       0.000us       0.000us           456  
                                                forward        34.01%        3.748s        54.56%        6.011s        6.011s       0.000us         0.00%      42.628ms      42.628ms             1  
                               cudaEventCreateWithFlags         0.00%     169.000us         0.00%     169.000us       1.310us       0.000us         0.00%       0.000us       0.000us           129  
                                        cudaEventRecord         0.00%     209.000us         0.00%     209.000us       1.290us       0.000us         0.00%       0.000us       0.000us           162  
                                    cudaStreamWaitEvent         0.00%     145.000us         0.00%     145.000us       2.377us       0.000us         0.00%       0.000us       0.000us            61  
                                       cudaEventDestroy         0.00%      82.000us         0.00%      82.000us       0.921us       0.000us         0.00%       0.000us       0.000us            89  
                                  nccl:_all_gather_base         0.00%       0.000us             0        3.743s        1.871s       0.000us         0.00%       0.000us       0.000us             2  
                                       cudaLaunchKernel        34.39%        3.789s        34.39%        3.789s       3.286ms       0.000us         0.00%       0.000us       0.000us          1153  
                                     record_param_comms        17.13%        1.887s        17.16%        1.891s      67.539ms       0.000us         0.00%     482.000us      17.214us            28  
                                  cudaStreamSynchronize         0.31%      34.541ms         0.31%      34.541ms      82.240us       0.000us         0.00%       0.000us       0.000us           420  
                                      FORWARD_EMBEDDING         0.01%     936.000us         0.39%      42.702ms      42.702ms       0.000us         0.00%     612.000us     612.000us             1  
                                                 detach         0.00%     315.000us         0.00%     315.000us       2.100us       0.000us         0.00%       0.000us       0.000us           150  
                               ForwardEmbedding_DropOut         0.00%     119.000us         0.00%     278.000us     278.000us       0.000us         0.00%      32.000us      32.000us             1  
                                                LAYER_0         0.00%     232.000us         0.34%      37.432ms      37.432ms       0.000us         0.00%       4.587ms       4.587ms             1  
                                      SelfAttnLayerNorm         0.00%     298.000us         0.01%       1.139ms     284.750us       0.000us         0.00%     375.000us      93.750us             4  
                                               SelfAttn         0.01%       1.652ms         0.55%      60.081ms      15.020ms       0.000us         0.00%      10.875ms       2.719ms             4  
                                               cudaFree         0.00%       8.000us         0.00%       8.000us       1.143us       0.000us         0.00%       0.000us       0.000us             7  
                                 cudaDeviceGetAttribute         0.00%       5.000us         0.00%       5.000us       0.125us       0.000us         0.00%       0.000us       0.000us            40  
