-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                           train_step-0         0.17%      13.980ms        47.17%        3.916s        3.916s       0.000us         0.00%      46.271ms      46.271ms             1  
                               cudaEventCreateWithFlags         0.00%     140.000us         0.00%     140.000us       1.474us       0.000us         0.00%       0.000us       0.000us            95  
                                        cudaEventRecord         0.00%     204.000us         0.00%     204.000us       1.229us       0.000us         0.00%       0.000us       0.000us           166  
                     Optimizer.zero_grad#Adam.zero_grad         0.00%      79.000us         0.00%      82.000us      82.000us       0.000us         0.00%       0.000us       0.000us             1  
                                         cudaEventQuery         0.01%     716.000us         0.01%     716.000us       1.234us       0.000us         0.00%       0.000us       0.000us           580  
                                       cudaEventDestroy         0.00%      60.000us         0.00%      60.000us       0.638us       0.000us         0.00%       0.000us       0.000us            94  
                                        cudaMemcpyAsync         6.60%     547.778ms         6.60%     547.778ms       1.223ms       0.000us         0.00%       0.000us       0.000us           448  
                                                forward        45.31%        3.761s        45.73%        3.796s        3.796s       0.000us         0.00%      41.988ms      41.988ms             1  
                                    cudaStreamWaitEvent         0.00%     130.000us         0.00%     130.000us       2.167us       0.000us         0.00%       0.000us       0.000us            60  
                                  nccl:_all_gather_base         0.00%       0.000us             0        3.758s        1.879s       0.000us         0.00%       0.000us       0.000us             2  
                                       cudaLaunchKernel        45.44%        3.771s        45.44%        3.771s       3.268ms       0.000us         0.00%       0.000us       0.000us          1154  
                                     record_param_comms         0.02%       1.591ms         0.02%       1.966ms      70.214us       0.000us         0.00%     474.000us      16.929us            28  
                                  cudaStreamSynchronize         0.55%      46.042ms         0.55%      46.042ms     111.752us       0.000us         0.00%       0.000us       0.000us           412  
                                      FORWARD_EMBEDDING         0.00%     382.000us         0.02%       1.264ms       1.264ms       0.000us         0.00%     269.000us     269.000us             1  
                                                 detach         0.00%     321.000us         0.00%     321.000us       2.140us       0.000us         0.00%       0.000us       0.000us           150  
                               ForwardEmbedding_DropOut         0.00%      52.000us         0.00%     152.000us     152.000us       0.000us         0.00%      31.000us      31.000us             1  
                                                LAYER_0         0.00%     159.000us         0.04%       3.120ms       3.120ms       0.000us         0.00%       4.576ms       4.576ms             1  
                                      SelfAttnLayerNorm         0.00%     149.000us         0.01%     772.000us     193.000us       0.000us         0.00%     374.000us      93.500us             4  
                                               SelfAttn         0.01%       1.129ms         0.07%       5.398ms       1.349ms       0.000us         0.00%      10.878ms       2.720ms             4  
                                        SelfAttnDropOut         0.00%     145.000us         0.01%     494.000us     123.500us       0.000us         0.00%     123.000us      30.750us             4  
                                            SelfAttnRes         0.00%     206.000us         0.00%     399.000us      99.750us       0.000us         0.00%     162.000us      40.500us             4  
